순위,종목코드,종목명,공매도 거래대금,거래대금,공매도 비중,공매도 거래대금 증가배율,직전40거래일 공매도 비중 평균,공매도 비중 증가배율,주가 수익률
"1","096770","SK이노베이션","11546009100","29199753450","39.54","1.55","14.19","2.79","-1.24"
"2","032830","삼성생명","7425397500","21146893550","35.11","1.21","12.58","2.79","-0.29"
"3","012750","에스원","660861200","1913216900","34.54","1.39","17.74","1.95","0.13"
"4","051900","LG생활건강","3387125000","10201609000","33.20","0.58","25.99","1.28","-0.99"
"5","344820","KCC글라스","113428350","361774650","31.35","1.28","11.38","2.76","0.00"
"6","006400","삼성SDI","30311830250","106618492750","28.43","2.42","7.43","3.83","-0.45"
"7","000080","하이트진로","418486800","1502948845","27.84","0.78","11.93","2.33","0.05"
"8","000150","두산","19058187500","72171833000","26.41","5.97","2.82","9.36","-0.89"
"9","002380","KCC","2596355000","9972302500","26.04","2.97","6.40","4.07","2.67"
"10","003670","포스코퓨처엠","9991836350","38717008200","25.81","1.32","9.82","2.63","-1.55"
"11","005440","현대지에프홀딩스","608109630","2425421485","25.07","4.38","4.99","5.02","-2.80"
"12","008770","호텔신라","3581932350","14515609925","24.68","1.71","13.69","1.80","-2.97"
"13","010130","고려아연","5314653500","21618960500","24.58","5.42","5.77","4.26","2.15"
"14","181710","NHN","968630850","4128490050","23.46","3.42","5.20","4.51","-1.68"
"15","030200","KT","4280163100","18276861512","23.42","1.69","10.01","2.34","-1.63"
"16","271560","오리온","3448213000","14751101900","23.38","1.34","17.15","1.36","-0.47"
"17","030210","다올투자증권","25686245","110245350","23.30","1.31","5.07","4.60","-0.15"
"18","079550","LIG넥스원","34130680000","150184542750","22.73","5.70","5.06","4.49","-5.27"
"19","042700","한미반도체","7283757700","32247869650","22.59","0.83","12.25","1.84","-0.11"
"20","111770","영원무역","578214800","2598036700","22.26","1.18","17.68","1.26","-2.25"
"21","336370","솔루스첨단소재","377320160","1710770765","22.06","2.03","9.09","2.43","-1.85"
"22","008350","남선알미늄","65544828","298850631","21.93","1.25","4.94","4.44","-0.09"
"23","010120","LS ELECTRIC","6632612250","30749429250","21.57","1.33","6.76","3.19","0.35"
"24","123890","한국자산신탁","52419165","249600633","21.00","2.02","7.29","2.88","-0.42"
"25","001800","오리온홀딩스","326271730","1575520040","20.71","0.97","6.68","3.10","-0.40"
"26","105560","KB금융","12061108100","59967756550","20.11","0.90","10.51","1.91","0.18"
"27","180640","한진칼","1511605900","7634763150","19.80","0.77","19.26","1.03","-4.61"
"28","373220","LG에너지솔루션","13270416500","67813969000","19.57","0.81","10.37","1.89","-1.97"
"29","034220","LG디스플레이","5397474200","28442126235","18.98","1.66","13.10","1.45","0.51"
"30","005180","빙그레","320156300","1696690850","18.87","0.94","6.97","2.71","0.14"
"31","025000","KPX케미칼","8480950","45906550","18.47","0.56","4.23","4.37","-0.30"
"32","499790","GS피앤엘","1634224650","8945200725","18.27","6.20","2.57","7.10","-1.81"
"33","011780","금호석유화학","935442800","5258791900","17.79","0.78","7.75","2.30","-0.72"
"34","004170","신세계","720334600","4058483300","17.75","0.81","13.11","1.35","-0.24"
"35","280360","롯데웰푸드","136235100","768358450","17.73","0.51","12.53","1.42","0.08"
"36","000140","하이트진로홀딩스","22244445","129423510","17.19","0.57","7.52","2.29","-0.70"
"37","001530","DI동일","172397850","1008427500","17.10","0.69","10.34","1.65","0.00"
"38","069960","현대백화점","789185600","4685975200","16.84","1.53","10.69","1.58","0.27"
"39","086790","하나금융지주","9101146650","54425962450","16.72","1.69","5.70","2.94","0.37"
"40","251270","넷마블","1307449800","7929166500","16.49","1.39","5.52","2.99","-0.64"
"41","009970","영원무역홀딩스","306835900","1887558450","16.26","0.80","15.87","1.02","-1.13"
"42","011200","HMM","5007739650","31097281225","16.10","1.21","7.20","2.24","-0.45"
"43","192080","더블유게임즈","253039250","1575784000","16.06","1.03","7.38","2.18","0.78"
"44","326030","SK바이오팜","2052507300","12815360600","16.02","0.70","10.25","1.56","0.20"
"45","018260","삼성에스디에스","2572491700","16121033800","15.96","0.52","10.13","1.58","-0.75"
"46","012630","HDC","551055350","3462379275","15.92","1.52","7.48","2.13","0.48"
"47","007310","오뚜기","312836000","1976427750","15.83","1.13","10.97","1.44","-0.26"
"48","403550","쏘카","13877320","89996140","15.42","2.04","9.18","1.68","-0.76"
"49","025540","한국단자","78627400","510390850","15.41","1.10","4.43","3.48","1.46"
"50","010060","OCI홀딩스","1641140300","10714750950","15.32","0.94","7.91","1.94","-1.69"